unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1593039600,24/6/2020 23:00,ETH/USD,234.6,235.55,234.03,234.43,530474.91,2260.78
1593036000,24/6/2020 22:00,ETH/USD,234.43,235.27,234.35,234.6,115029.56,490.22
1593032400,24/6/2020 21:00,ETH/USD,234.7,235.09,233.42,234.43,286621.12,1223.7
1593028800,24/6/2020 20:00,ETH/USD,233.67,234.85,233.3,234.7,194832.21,832.21
1593025200,24/6/2020 19:00,ETH/USD,233.68,235.01,233.27,233.67,223980.3,955.78
1593021600,24/6/2020 18:00,ETH/USD,233.76,234.88,233.6,233.68,184175.91,786.43
1593018000,24/6/2020 17:00,ETH/USD,233.55,234.25,232.9,233.76,269482.44,1153.2
1593014400,24/6/2020 16:00,ETH/USD,231.61,234.1,230.95,233.55,666120.97,2861.81
1593010800,24/6/2020 15:00,ETH/USD,235.34,236.04,230.71,231.61,2352508.89,10099.54
1593007200,24/6/2020 14:00,ETH/USD,238.37,238.61,234.51,235.34,1283127.98,5442.72
1593003600,24/6/2020 13:00,ETH/USD,240.13,240.73,237.95,238.37,484199.47,2021.06
1593000000,24/6/2020 12:00,ETH/USD,237.74,240.31,236.69,240.13,593395.02,2491.1
1592996400,24/6/2020 11:00,ETH/USD,238.26,239.57,237.74,237.74,651228.51,2728.37
1592992800,24/6/2020 10:00,ETH/USD,242.43,242.5,236.42,238.26,2315682.19,9708.38
1592989200,24/6/2020 9:00,ETH/USD,242.65,242.93,241.8,242.43,218861.61,903.25
1592985600,24/6/2020 8:00,ETH/USD,242.07,243.26,241.31,242.65,790299.97,3259.16
1592982000,24/6/2020 7:00,ETH/USD,248.01,248.41,241,242.07,2879344.89,11820.74
1592978400,24/6/2020 6:00,ETH/USD,248.08,248.96,247.45,248.01,896491.33,3616.41
1592974800,24/6/2020 5:00,ETH/USD,247.77,249.11,247.23,248.08,676976.21,2731.04
1592971200,24/6/2020 4:00,ETH/USD,245.12,248.41,244.74,247.77,638950.93,2589.66
1592967600,24/6/2020 3:00,ETH/USD,245.61,245.82,244.44,245.12,502901.48,2048.07
