unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1531022400,8/7/2018 4:00,BCH/USD,762.76,764.99,760.82,760.82,12671.73,16.63
1531018800,8/7/2018 3:00,BCH/USD,766.47,768.72,762.76,762.76,15709.42,20.48
1531015200,8/7/2018 2:00,BCH/USD,771.29,771.29,763.85,766.47,38035.15,49.49
1531011600,8/7/2018 1:00,BCH/USD,770.38,772.99,766.82,771.29,2870.99,3.729
1531008000,8/7/2018 0:00,BCH/USD,773.15,783.22,765.94,770.38,190440.37,245.15
1531004400,7/7/2018 23:00,BCH/USD,731.16,776.69,730.66,773.15,389120.18,512.26
1531000800,7/7/2018 22:00,BCH/USD,724.24,731.84,724.24,731.16,75490.87,103.58
1530997200,7/7/2018 21:00,BCH/USD,723.94,728.1,723.94,724.24,67.12,0.09263
1530993600,7/7/2018 20:00,BCH/USD,727.03,727.6,721.66,723.94,15786.82,21.8
1530990000,7/7/2018 19:00,BCH/USD,728.67,728.99,725.07,727.03,38909.12,53.59
1530986400,7/7/2018 18:00,BCH/USD,727.82,729.94,722.32,728.67,26265.99,36.22
1530982800,7/7/2018 17:00,BCH/USD,728.93,728.93,723.19,727.82,3246.58,4.475
1530979200,7/7/2018 16:00,BCH/USD,721.53,730.23,720.07,728.93,47098.58,65.11
1530975600,7/7/2018 15:00,BCH/USD,725.12,725.12,720.97,721.53,19352.97,26.78
1530972000,7/7/2018 14:00,BCH/USD,714.06,725.12,712.53,725.12,4837.68,6.718
1530968400,7/7/2018 13:00,BCH/USD,717.2,717.2,708,714.06,132203.19,185.41
1530964800,7/7/2018 12:00,BCH/USD,724,730.62,717.2,717.2,36137.06,50.24
1530961200,7/7/2018 11:00,BCH/USD,721.64,725.08,721.27,724,7605.73,10.52
1530957600,7/7/2018 10:00,BCH/USD,720.69,722.76,716.08,721.64,5229.98,7.283
1530954000,7/7/2018 9:00,BCH/USD,720.2,725.36,715.77,720.69,70115.92,96.97
1530950400,7/7/2018 8:00,BCH/USD,723.7,725.71,720.2,720.2,16949.84,23.43
1530946800,7/7/2018 7:00,BCH/USD,728.71,728.71,720.16,723.7,9946.68,13.74
1530943200,7/7/2018 6:00,BCH/USD,732.69,732.69,726.51,728.71,1866.98,2.568
1530939600,7/7/2018 5:00,BCH/USD,728.63,732.69,728.63,732.69,8672.72,11.84
1530936000,7/7/2018 4:00,BCH/USD,730.42,730.62,727.88,728.63,6948.44,9.538
1530932400,7/7/2018 3:00,BCH/USD,727.18,730.58,727.18,730.42,7854.06,10.75
1530928800,7/7/2018 2:00,BCH/USD,725.37,728.96,725.37,727.18,5027.07,6.917
1530925200,7/7/2018 1:00,BCH/USD,729.15,730.47,723.18,725.37,1134.45,1.559
1530921600,7/7/2018 0:00,BCH/USD,734.26,734.26,726,729.15,101480.26,139.6
1530918000,6/7/2018 23:00,BCH/USD,724.02,734.26,724.02,734.26,19672.72,27.12
1530914400,6/7/2018 22:00,BCH/USD,726.63,730.72,723.34,724.02,21133.05,29.19
1530910800,6/7/2018 21:00,BCH/USD,731.38,732.03,725.77,726.63,27121.16,37.28
1530907200,6/7/2018 20:00,BCH/USD,733.62,734.48,728.67,731.38,78209.46,106.84
1530903600,6/7/2018 19:00,BCH/USD,726.37,733.87,723.64,733.62,13186.88,18.07
1530900000,6/7/2018 18:00,BCH/USD,729.53,729.53,721.66,726.37,42465.77,58.54
1530896400,6/7/2018 17:00,BCH/USD,722.08,730.62,719.5,729.53,278287.82,383.28
1530892800,6/7/2018 16:00,BCH/USD,725.64,727,719.06,722.08,52612.81,73.02
1530889200,6/7/2018 15:00,BCH/USD,725.43,725.67,720,725.64,4124.3,5.711
1530885600,6/7/2018 14:00,BCH/USD,725.67,726.45,721.66,725.43,32531.03,44.9
1530882000,6/7/2018 13:00,BCH/USD,735.13,735.13,723.11,725.67,17781.36,24.38
1530878400,6/7/2018 12:00,BCH/USD,722.8,739.01,722.8,735.13,100106.63,136.71
1530874800,6/7/2018 11:00,BCH/USD,719.39,724.98,719.39,722.8,42988.33,59.39
1530871200,6/7/2018 10:00,BCH/USD,711.09,725.6,710,719.39,109189.22,150.71
1530867600,6/7/2018 9:00,BCH/USD,722.06,722.06,710,711.09,13144.86,18.4
